PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
11,9/2/18,1:11:52 PM,2,5,"Dotson, Josh",1000048798,Right,NOR_TAR,"Freeman, Ike",8899244,Right,NOR_TAR2,Undefined,1,Top,0,1,2,Undefined,Undefined,InPlay,Undefined,LineDrive,Single,0,0,,74.25995471,2.931775665,-1.75327692,2531.249228,47.27676255,7:30,5.427241486,1.7128648,4.982177713,-62.31881889,-9.448883899,-12.81448316,2.883199037,-1.069147652,67.86572481,-8.703312189,-4.196186819,0.523330331,81.52739936,10.11674197,-3.588545825,916.27047,109.9582167,4.74253431,-3.029893932,131.7019168,131.7019168,-1.495946769,1.288789063,6.15782086,-5.784744291,-1.532494096,50,5.65789612,3.816892365,-107.5927957,3.312579927,7.161363248,20.04185489,-38.90153481,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,487e2c9d-aed3-11e8-ae34-484d7efbbbf7
12,9/2/18,1:12:46 PM,3,1,"Dotson, Josh",1000048798,Right,NOR_TAR,"McGee, Ashton",8899474,Left,NOR_TAR2,Undefined,1,Top,0,0,0,Undefined,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,81.60086729,-0.44495785,-2.456749422,1595.590847,226.281243,1:30,5.440208991,1.812227357,5.907632881,-32.05699015,9.684756883,8.275278044,2.335258914,0.254051767,75.01777445,-6.463062578,-0.864043503,0.46500415,68.68975925,74.580261,-137.6201231,,,,,,,,,-5.099695214,5.345141136,-1.620105827,50,5.386073698,4.757903532,-118.5322056,-1.922914321,-7.29095053,21.61492263,-24.53218802,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,69d68b8f-aed3-11e8-ae34-484d7efbbbf7
13,9/2/18,1:13:14 PM,3,2,"Dotson, Josh",1000048798,Right,NOR_TAR,"McGee, Ashton",8899474,Left,NOR_TAR2,Undefined,1,Top,0,0,1,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.6624537,1.445739204,-1.626262907,1984.928912,235.5744838,1:45,5.458984027,2.061367428,5.863629054,-28.10992791,8.882221283,10.56880972,4.442619515,1.481391504,79.49765444,-3.839474465,0.414498439,0.437750147,,,,,,,,,,,,-6.090147171,4.411374396,-1.935843827,50,5.559696062,3.107515929,-125.9063151,2.237679479,-9.845215954,23.86936124,-25.04270471,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,7527aa6a-aed3-11e8-ae34-484d7efbbbf7
14,9/2/18,1:13:40 PM,3,3,"Dotson, Josh",1000048798,Right,NOR_TAR,"McGee, Ashton",8899474,Left,NOR_TAR2,Undefined,1,Top,0,1,1,Undefined,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,81.92420509,1.004989254,-2.01925868,1945.378986,236.3011564,2:00,5.4045325,1.891047065,5.876565669,-33.06303329,8.208629205,9.711132623,3.557572954,0.866299784,75.48005391,-5.203818839,-0.151557981,0.46237836,93.88484261,8.369193908,-45.31942535,3128.331563,69.60739457,9.702041866,-85.17513652,184.2089883,113.1845959,-53.75360888,1.601394653,-5.717458655,4.171222929,-1.7337555,50,5.466437263,3.80267847,-119.0610522,1.031096392,-8.285908895,20.79975016,-26.12898986,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,87135e99-aed3-11e8-ae34-484d7efbbbf7
15,9/2/18,1:14:09 PM,3,4,"Dotson, Josh",1000048798,Right,NOR_TAR,"McGee, Ashton",8899474,Left,NOR_TAR2,Undefined,1,Top,0,1,2,Undefined,Undefined,InPlay,Undefined,GroundBall,Single,0,1,,74.47415724,3.383741748,-0.613616235,2534.517897,40.85630019,7:15,5.400602314,1.935663425,5.09372574,-64.20961594,-12.11772924,-12.47599584,3.107508497,0.26047697,68.29316734,-8.625841162,-2.996263899,0.519465324,97.38518204,-1.208575814,24.77329791,,,,,41.69808196,39.76247209,25.02728365,0.298175659,6.350593905,-7.286466494,-1.867112172,50,5.668570955,1.66539576,-107.9953148,4.116433478,7.475737924,19.37673787,-40.75146899,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,98f7eb4d-aed3-11e8-ae34-484d7efbbbf7
16,9/2/18,1:15:12 PM,4,1,"Dotson, Josh",1000048798,Right,NOR_TAR,"Sabato, Aaron",1000013477,Right,NOR_TAR2,Undefined,1,Top,0,0,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,73.73454986,4.760354639,-1.233755376,2391.805517,39.44642689,7:15,5.41763108,1.724156925,4.890739708,-64.64286574,-11.05298732,-11.0842517,4.402330504,-0.422318104,67.4999861,-7.291439596,-3.343825886,0.526881445,,,,,,,,,,,,5.409618652,-7.027198234,-1.593208814,50,5.829188673,2.766180705,-106.709772,6.551594151,6.240366565,18.28465738,-40.28040424,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,bcadf19f-aed3-11e8-ae34-484d7efbbbf7
17,9/2/18,1:15:31 PM,4,2,"Dotson, Josh",1000048798,Right,NOR_TAR,"Sabato, Aaron",1000013477,Right,NOR_TAR2,Undefined,1,Top,0,1,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,80.20312255,-0.831606186,-3.745414902,1536.277642,255.44252,2:30,5.358929491,1.739204286,6.249584583,-36.77913603,5.766371602,15.5821941,1.490133824,-0.361497088,74.21134964,-7.764217514,-0.741332463,0.469459761,,,,,,,,,,,,-9.422384886,3.364323775,-1.468704539,50,5.278785661,7.055680729,-116.4988214,-2.789851674,-13.06841132,19.9993975,-27.50788734,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,cc3274cb-aed3-11e8-ae34-484d7efbbbf7
18,9/2/18,1:15:57 PM,4,3,"Dotson, Josh",1000048798,Right,NOR_TAR,"Sabato, Aaron",1000013477,Right,NOR_TAR2,Undefined,1,Top,0,2,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.22226342,1.065092319,-2.562590674,2051.125434,224.6078224,1:30,5.411368061,1.80856698,5.993468832,-27.50297448,9.756589525,8.00496661,4.093759229,0.136362798,79.01527068,-4.114781332,-1.015237266,0.439329537,,,,,,,,,,,,-4.987015641,5.001109259,-1.611252524,50,5.480064685,5.261879079,-125.2196751,1.444695272,-7.964257072,23.90775481,-24.18728399,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,d78d1d31-aed3-11e8-ae34-484d7efbbbf7
19,9/2/18,1:16:26 PM,4,4,"Dotson, Josh",1000048798,Right,NOR_TAR,"Sabato, Aaron",1000013477,Right,NOR_TAR2,Undefined,1,Top,0,3,0,Undefined,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.78797531,-0.564719035,-4.108755712,1960.195161,240.1263516,2:00,5.537083395,1.710110994,6.112436035,-25.9871895,9.880125788,14.39086383,2.835939234,-0.829637727,80.5280084,-5.460515942,-1.324911755,0.431043354,,,,,,,,,,,,-8.870071456,5.516925293,-1.402284787,50,5.480095082,8.532110101,-127.3570256,-2.089472754,-14.65254342,24.74182839,-23.06059464,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,e971aa09-aed3-11e8-ae34-484d7efbbbf7
20,9/2/18,1:16:49 PM,4,5,"Dotson, Josh",1000048798,Right,NOR_TAR,"Sabato, Aaron",1000013477,Right,NOR_TAR2,Undefined,1,Top,0,3,1,Undefined,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.04070691,0.054779343,-4.130528608,2026.214397,230.0193654,1:45,5.423235369,1.779828398,6.063927831,-27.26058826,9.317017004,9.173318236,3.187124149,-1.243071506,79.79129158,-5.08014798,-2.359427455,0.435290464,,,,,,,,,,,,-6.047408344,5.041471139,-1.464321086,50,5.412889052,8.726823243,-126.2456995,-0.756892783,-9.811711138,24.42213961,-23.99443578,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,fa81ff45-aed3-11e8-ae34-484d7efbbbf7
